FG-CLIP2相似度评估结果（调整相似度 + 原始相似度）
======================================================================

文件夹: Figma
调整相似度 - 平均: 86.4885 ± 7.3207
           范围: 61.8960 - 95.5070
原始相似度 - 平均: 0.8932 ± 0.0633
           范围: 0.6804 - 0.9712
有效图像对: 81

各图像对相似度:
文件名		调整相似度	原始相似度
--------------------------------------------------
1		81.4853		0.8499
2		89.4453		0.9188
3		86.5003		0.8933
5		88.5129		0.9107
6		86.5566		0.8938
7		91.3199		0.9350
8		84.1051		0.8726
9		89.8317		0.9221
10		86.1127		0.8899
11		90.6037		0.9288
12		90.2176		0.9255
13		87.0772		0.8983
14		76.1711		0.8039
15		68.8440		0.7405
16		79.4978		0.8327
17		89.2529		0.9171
18		92.3754		0.9441
19		91.5034		0.9366
20		81.4559		0.8496
21		93.7576		0.9561
22		93.7876		0.9563
23		83.4410		0.8668
24		90.8623		0.9310
25		75.2621		0.7961
26		83.8863		0.8707
27		89.4115		0.9185
28		91.9080		0.9401
29		91.2609		0.9345
30		92.2381		0.9429
31		81.7384		0.8521
32		83.7490		0.8695
33		70.9061		0.7584
34		64.2055		0.7004
35		90.9022		0.9314
36		92.2590		0.9431
37		92.9952		0.9495
38		94.0454		0.9586
39		88.1889		0.9079
40		82.4117		0.8579
41		93.0290		0.9498
42		95.5070		0.9712
43		95.4574		0.9708
44		91.7508		0.9387
45		93.9284		0.9576
46		95.4418		0.9706
47		76.6131		0.8077
48		90.5841		0.9286
49		89.5748		0.9199
50		74.8748		0.7927
51		91.1854		0.9338
52		85.9966		0.8889
53		84.3786		0.8749
54		89.2497		0.9171
55		82.3179		0.8571
56		74.7238		0.7914
57		92.3057		0.9435
58		90.6743		0.9294
59		85.7332		0.8867
60		64.9920		0.7072
61		87.7370		0.9040
62		81.7949		0.8526
63		87.6255		0.9030
64		92.2043		0.9426
65		79.5690		0.8333
66		91.7057		0.9383
67		89.2385		0.9170
68		91.5641		0.9371
69		86.7155		0.8952
70		88.9760		0.9147
71		89.1581		0.9163
72		90.7560		0.9301
73		95.0819		0.9675
74		81.8181		0.8528
76		89.0144		0.9150
77		91.3771		0.9355
78		79.0645		0.8290
79		87.1881		0.8992
80		84.4390		0.8755
81		89.0789		0.9156
82		93.1606		0.9509
83		61.8960		0.6804

======================================================================

文件夹: Screenshot
调整相似度 - 平均: 82.7113 ± 12.8680
           范围: 45.2435 - 95.1935
原始相似度 - 平均: 0.8605 ± 0.1113
           范围: 0.5363 - 0.9685
有效图像对: 83

各图像对相似度:
文件名		调整相似度	原始相似度
--------------------------------------------------
1		88.4285		0.9100
2		91.7328		0.9386
3		93.2336		0.9515
4		84.6654		0.8774
5		64.5728		0.7036
6		86.6671		0.8947
7		93.1352		0.9507
8		85.4405		0.8841
9		86.0261		0.8892
10		91.0497		0.9326
11		90.2555		0.9258
12		45.2435		0.5363
13		68.0960		0.7341
14		67.5440		0.7293
15		60.5462		0.6687
16		64.7875		0.7054
17		84.3727		0.8749
18		93.1972		0.9512
19		94.2109		0.9600
20		76.2382		0.8045
21		95.1935		0.9685
22		74.1953		0.7868
23		80.0040		0.8371
24		87.3849		0.9009
25		67.0225		0.7248
26		88.7197		0.9125
27		91.4815		0.9364
28		92.4355		0.9446
29		92.0392		0.9412
30		90.8034		0.9305
31		75.4619		0.7978
32		92.0093		0.9410
33		88.8689		0.9138
34		66.2669		0.7182
35		80.5121		0.8415
36		90.7471		0.9300
37		94.7886		0.9650
38		95.0473		0.9672
39		84.8569		0.8791
40		88.0495		0.9067
41		94.6688		0.9640
42		92.5669		0.9458
43		93.7133		0.9557
44		94.9698		0.9666
45		78.2293		0.8217
46		93.8993		0.9573
47		74.2864		0.7876
48		92.8293		0.9480
49		54.8114		0.6191
50		70.4637		0.7545
51		54.8931		0.6198
52		84.3321		0.8745
53		83.0510		0.8634
54		90.7981		0.9305
55		61.0390		0.6730
56		76.0851		0.8032
57		94.6187		0.9635
58		90.7068		0.9297
59		81.5403		0.8504
60		49.0918		0.5696
61		93.1813		0.9511
62		70.4827		0.7547
63		87.8697		0.9051
64		50.3016		0.5801
65		68.2907		0.7357
66		94.1002		0.9590
67		92.0181		0.9410
68		90.4345		0.9273
69		50.8278		0.5847
70		94.7135		0.9643
71		90.7244		0.9298
72		85.0054		0.8804
73		94.3093		0.9609
74		90.7833		0.9303
75		94.4206		0.9618
76		82.4895		0.8586
77		93.2518		0.9517
78		85.1305		0.8814
79		72.8316		0.7750
80		92.4126		0.9444
81		82.9292		0.8624
82		93.2309		0.9515
83		83.3754		0.8663

======================================================================

